employee_id,employee_name,current_role,skills,dateofbirth,dateofjoining,email,mobile_number,Address,yearofexperience
421,Glen Wood,junior data engineer,ETL,1984-10-05,2005-05-03,xbrady@example.net,288735222636271,"509 Martinez Viaduct Apt. 872, Whitebury, NM 27043",19
488,Mark Underwood,senior data engineer,Data Lakes,1974-03-09,2009-12-24,ywhite@example.org,8738556116181,"82091 Riley Trail Suite 407, Tinaland, AR 46285",14
272,George Smith,junior data analyst,Tableau,1972-09-18,2012-02-02,blake03@example.net,1999358461442755,"27641 Austin Shores, Port Jose, GU 08041",12
355,Fred Butler,senior data engineer,Spark,1982-11-03,2010-06-27,randy40@example.com,7548785042,"381 Brian Turnpike, Port Chelseaburgh, VT 01848",14
35,Kelly Bryant,junior data engineer,Python,1961-11-11,2013-09-14,davisandrew@example.net,130478599738570,"PSC 1740, Box 0313, APO AE 25590",11
369,Joshua Cummings,senior data analyst,Statistics,1955-04-30,2014-07-17,robert78@example.net,19387798093127,"PSC 2932, Box 1592, APO AE 12269",10
238,Kevin Montes,junior data analyst,SQL,1954-08-11,2017-10-30,kimberly36@example.org,278731903799819,"USNV Suarez, FPO AE 33601",6
27,Heather Newton,junior data engineer,ETL,1989-01-04,2005-01-17,jose98@example.com,5064725658,"6763 Holland Lane Suite 481, East Geoffreybury, HI 97622",19
146,Daniel Johnson,junior data analyst,Tableau,1969-01-31,2006-05-13,lkeller@example.org,953437559802233,"8656 Jennifer Viaduct Suite 186, Hendersonport, NH 36065",18
340,Brenda Sullivan,junior software engineer,CSS,2000-03-15,2005-09-10,barnesmichelle@example.org,2638309332,"0489 Harmon Gardens Apt. 359, Louiston, ME 14369",19
384,Herbert Frost,junior software engineer,HTML,1973-01-06,2017-03-15,hlowe@example.net,1269450018281946,"958 Joseph Roads, Port Kristen, MO 15502",7
483,John Wood,senior data engineer,Hadoop,1979-12-11,2017-03-06,mistyblake@example.com,57944864330840,"80377 Greene Crossing, Bryanchester, MP 55432",7
14,Sierra Martinez,senior software engineer,Cloud Computing,1993-11-10,2007-08-19,cadams@example.net,7597126829,"1207 Dana Hills Suite 889, New Kellyfurt, HI 53983",17
223,Brenda Gardner,senior data analyst,Predictive Analytics,1981-03-06,2004-11-13,figueroaterri@example.com,9243269223,"64544 Cynthia Garden, Murillohaven, PA 75393",19
496,Kevin Moran,senior software engineer,Cloud Computing,1990-07-17,2019-09-12,terrenceedwards@example.com,605793425721788,"493 Brenda Heights, Morrisview, GA 05980",5
195,Karen Moore,junior data engineer,Python,1983-09-10,2014-02-20,williamle@example.org,9974041690,"2873 Michael Isle, New Lesliehaven, FM 71316",10
67,Jessica Cochran,junior data analyst,Tableau,1962-06-23,2007-10-07,morawilliam@example.org,2832454131123,"720 Ibarra Hollow, Kennethburgh, CT 99591",17
164,Gregory Valentine,senior data engineer,Spark,1953-12-12,2009-07-20,nicholas46@example.com,4158364299919,"954 Ashley Ramp, East Robert, AZ 70212",15
316,Wanda Moore,junior software engineer,HTML,1971-01-10,2015-06-18,holly34@example.com,18329966272013,"8808 Tyler Circle Apt. 522, Sethchester, NH 84476",9
127,Mr. James Acosta,junior data analyst,SQL,1988-03-21,2021-05-24,danielle55@example.org,14382509469,"08871 Sharon Ridge Suite 138, Scottborough, IL 89358",3
102,Holly Barnes,senior software engineer,DevOps,1998-09-24,2015-07-16,tiffanydean@example.com,1567704759281263,"8279 Coleman Station, Port Jaime, RI 53951",9
401,William Harrison,senior data analyst,Data Modeling,2001-04-06,2009-11-04,aschultz@example.com,9558986475,"USNV Beard, FPO AP 85044",14
46,Patrick Moreno,senior data engineer,Hadoop,1978-01-04,2019-09-09,martinjohnny@example.net,3309433299,"PSC 3302, Box 9922, APO AP 32701",5
369,Virginia Green,senior data analyst,Data Modeling,1982-09-07,2021-02-01,aroach@example.net,9762096386,"1387 Noble Field Suite 877, South Jenniferfort, OK 84797",3
88,Edwin Taylor,junior data analyst,SQL,1955-05-18,2018-07-27,williampeterson@example.com,951901464801814,"83839 Thompson Ridge, Lesliebury, DE 80047",6
163,Emily Vasquez,senior data scientist,TensorFlow,1988-04-03,2020-03-09,nelsonrichard@example.com,40242542584693,"Unit 2554 Box 0593, DPO AE 07703",4
200,Miranda Hardy,senior data analyst,Predictive Analytics,1964-02-07,2016-07-11,david50@example.com,248526969737712,"45026 Murphy Motorway, Cynthiaview, GA 31177",8
363,Andrea Bishop,junior data scientist,Python,1977-11-27,2005-08-11,mitchellkaren@example.net,8369739600,"PSC 9093, Box 7272, APO AE 55702",19
331,Nathaniel Alexander,senior data analyst,Data Modeling,1988-04-30,2014-08-24,gilberthunt@example.com,19346851302,"75412 Matthew Locks Suite 357, Wilsonchester, TN 15314",10
68,Mary Clark,senior data engineer,Spark,2005-10-30,2015-02-20,justinsmith@example.com,2433458592,"92245 Terry Union, Alexismouth, CA 10403",9
94,Natalie Zhang,senior data scientist,TensorFlow,1968-01-11,2019-08-18,joycecannon@example.org,5337862767645,"Unit 1945 Box 3704, DPO AP 27172",5
1,Brandon Griffin,junior data analyst,SQL,1954-08-03,2015-08-20,kristinareid@example.com,5616707169,"6775 David Harbor, Marcusside, NM 04766",9
233,Patrick Myers,junior data analyst,Tableau,1966-09-10,2018-06-27,melissa97@example.net,2342046631,"14187 Davis Tunnel Suite 865, New Stephanie, ME 78458",6
153,Steven Doyle,senior data scientist,TensorFlow,1984-12-02,2006-06-29,oadams@example.org,6526785508,"84964 Bailey Trail Suite 503, North Lindamouth, SC 99147",18
214,Dawn Carr,junior software engineer,CSS,1991-08-30,2018-08-26,hsmith@example.net,93696205074729,"834 Mitchell Trail Apt. 104, Rosschester, MH 55002",6
226,Terri Martin,junior software engineer,JavaScript,1976-10-22,2013-03-28,andrew74@example.org,16812114290,"96860 Smith Throughway Apt. 529, Allisonbury, WV 90099",11
