EmployeeID,Firstname,Lastname,Designation,YearOfJoining,Password,status
JMD311,Sara,Mathews,Software Engineer,2022,$2a$10$j2BEsULtTIWa0vIYCtEPw.9nTR7W.Abopn9NsIsMhu3WWnssk8pKm,False
JMD312,Patricia,Watson,Software Engineer,2024,$2a$10$/.oEP6Mt/paoZhmPjRvp8.GA2sqTv5giHOvDyVFk73p.Mzzxpae.O,False
JMD313,Katherine,Maldonado,Software Engineer,2022,$2a$10$hghMMkNbFNg3KcGRHqjVDO9xSNwlsjPjxXk0FMQoCcalmz46qmgDq,False
JMD314,Jason,Carrillo,Software Engineer,2022,$2a$10$f90GYkPgIhNnLgFAPwF46.ajkyoqwf9SWrG1acEE8YrnrFvt9GiRO,False
JMD315,Sandra,Watson,Software Engineer,2022,$2a$10$/NHr9/2ncxVxKh7yWnQ4yuu3ulkML0JXnrr5BTkXLPaOh/Qo2lLWK,False
JMD316,Jenny,Lewis,IT Support,2024,$2a$10$uDuRnnN7lPz3xKIkUY7Yaur4wCE8.JYqNVMThG0SMeoYlhYZieakC,False
JMD317,Matthew,Horn,Solution Enabler,2022,$2a$10$1GDfdmmIAV8BUeSill0l0ul1UXatTeqH7eNu6kkA4SVY.Qee4fhJ2,False
JMD318,Angela,Friedman,Software Engineer,2024,$2a$10$oQlob4pE.7GNBGqulSeKHuyvp94HMYuyOWFLz5zXmfJkqxsvoA0m.,False
JMD319,Wesley,Mack,Software Engineer,2023,$2a$10$RxcaYj/UQB91yR1OP1xjquKIwPx7x9Gn7IPk0O12QX6y8fR0KNBJK,False
JMD320,Robert,Carpenter,IT Support,2021,$2a$10$PkJeOpTQYue7CcdVrgL4S.5Kpsj9iuDMJlCm1C/lvM4wLpoiTYxlu,False
JMD301,Donald,Phelps,Solution Enabler,2022,$2a$10$SQxz467vJUef.foSGrNtxulGISYmhA8B.GOGQE5DAxKj.9cqkNifm,True
JMD302,Karen,Lee,Solution Enabler,2022,$2a$10$ZDTcYtOEj9hXMYGUNAtQKe/Qz/UlWePtFHI/o5bIsUa1E9BqFXTtK,True
JMD303,Matthew,Cook,IT Support,2020,$2a$10$xpDe2ezjeOY/WlmINJhTg.nNnUFB3rSQwFMgTNSTJPv7Q0m0wAjwa,True
JMD304,Patricia,Rodriguez,Software Engineer,2024,$2a$10$7TO9inie7f27HES9M.hyl.Pwtj1EM3HlxY.Feut2mMmZ/8YDI.yUS,True
JMD305,Cynthia,Carter,Software Engineer,2024,$2a$10$RzZaf8bOaQv3BwlpV9PW0Om0swPJmD8zZv.1LmfQZgVPxFD8RJpNa,True
JMD306,Jessica,Stevens,IT Support,2020,$2a$10$6KZp99J3zZhWI/QrG6CP9.yjDPefM54fbO.QEeyMTBioav7slvili,True
JMD307,Kathy,Adams,IT Support,2023,$2a$10$kHerTf2ociKMBBkDyOk7fOe/STiXoVhk5UhonHSV1AgA/KO60A0pW,True
JMD308,Rebecca,Farmer,Software Engineer,2024,$2a$10$zgCXhyRZUI3QhFfpYbsCmedEXSlUEAku6AtwXCDu8uy/HhXPUDnFS,True
JMD309,Willie,Barton,Solution Enabler,2022,$2a$10$Ic5f73U4liaOT3KZGQahd.RQ4a86wCFktjIK22Gm0AcG0Vym4TKli,True
JMD310,Jon,Wilkerson,Software Engineer,2021,$2a$10$.01shM9QZ5HQ4Ck4NAkZWe4w0wIgKLCx4H7I3Jal8zhfX6Um4dvSK,True
