EmployeeID,Firstname,Lastname,Designation,YearOfJoining,CourseName,Proficiency,SkillType,CertificateLink,ScoreObtained,ScoreCategory,Verified
JMD301,Donald,Phelps,Solution Enabler,2022,Cloud Security Basics,Basic,ASSESSMENT,,99.0,Excellent,False
JMD301,Donald,Phelps,Solution Enabler,2022,Data Lakes and Big Data Systems,Advanced,ASSESSMENT,,68.0,Average,True
JMD301,Donald,Phelps,Solution Enabler,2022,Data Science Fundamentals,Basic,CERTIFICATE,http://example.com/certificate/JMD301/37,,,True
JMD301,Donald,Phelps,Solution Enabler,2022,ETL Processes and Tools,Advanced,CERTIFICATE,http://example.com/certificate/JMD301/29,,,True
JMD302,Karen,Lee,Solution Enabler,2022,HTML5 Fundamentals,Basic,CERTIFICATE,http://example.com/certificate/JMD302/15,,,True
JMD302,Karen,Lee,Solution Enabler,2022,Fundamentals of SQL,Intermediate,CERTIFICATE,http://example.com/certificate/JMD302/26,,,True
JMD302,Karen,Lee,Solution Enabler,2022,Introduction to Web Design,Advanced,ASSESSMENT,,70.0,Average,True
JMD302,Karen,Lee,Solution Enabler,2022,Data Wrangling and Preprocessing,Intermediate,CERTIFICATE,http://example.com/certificate/JMD302/44,,,True
JMD302,Karen,Lee,Solution Enabler,2022,Data Engineering with Apache Spark,Advanced,CERTIFICATE,http://example.com/certificate/JMD302/35,,,True
JMD302,Karen,Lee,Solution Enabler,2022,Intermediate Data Visualization with Python,Advanced,CERTIFICATE,http://example.com/certificate/JMD302/42,,,False
JMD303,Matthew,Cook,IT Support,2020,HTML5 Fundamentals,Basic,ASSESSMENT,,52.0,Below average,False
JMD303,Matthew,Cook,IT Support,2020,Data Integration with Apache Kafka,Intermediate,CERTIFICATE,http://example.com/certificate/JMD303/30,,,True
JMD303,Matthew,Cook,IT Support,2020,Kubernetes in the Cloud,Intermediate,CERTIFICATE,http://example.com/certificate/JMD303/60,,,True
JMD303,Matthew,Cook,IT Support,2020,Advanced Machine Learning Algorithms,Intermediate,CERTIFICATE,http://example.com/certificate/JMD303/48,,,False
JMD303,Matthew,Cook,IT Support,2020,Cyber Threat Intelligence,Intermediate,ASSESSMENT,,71.0,Good,False
JMD303,Matthew,Cook,IT Support,2020,Cloud Infrastructure Automation with Terraform,Intermediate,ASSESSMENT,,75.0,Good,False
JMD304,Patricia,Rodriguez,Software Engineer,2024,Intermediate CSS & Sass,Basic,ASSESSMENT,,54.0,Below average,True
JMD304,Patricia,Rodriguez,Software Engineer,2024,Python for Data Analysis,Advanced,ASSESSMENT,,95.0,Excellent,True
JMD304,Patricia,Rodriguez,Software Engineer,2024,Cloud Storage Fundamentals,Advanced,ASSESSMENT,,72.0,Good,True
JMD304,Patricia,Rodriguez,Software Engineer,2024,Advanced Python Programming,Intermediate,CERTIFICATE,http://example.com/certificate/JMD304/9,,,False
JMD304,Patricia,Rodriguez,Software Engineer,2024,Web Performance Optimization,Advanced,CERTIFICATE,http://example.com/certificate/JMD304/24,,,True
JMD305,Cynthia,Carter,Software Engineer,2024,Fundamentals of SQL,Intermediate,ASSESSMENT,,52.0,Below average,True
JMD305,Cynthia,Carter,Software Engineer,2024,Advanced Cloud Networking,Advanced,ASSESSMENT,,86.0,Best,True
JMD305,Cynthia,Carter,Software Engineer,2024,Introduction to Data Pipelines,Basic,CERTIFICATE,http://example.com/certificate/JMD305/25,,,False
JMD305,Cynthia,Carter,Software Engineer,2024,Data Warehousing Basics,Advanced,CERTIFICATE,http://example.com/certificate/JMD305/27,,,False
JMD305,Cynthia,Carter,Software Engineer,2024,Natural Language Processing with Python,Advanced,CERTIFICATE,http://example.com/certificate/JMD305/47,,,False
JMD306,Jessica,Stevens,IT Support,2020,Data Engineering with Apache Spark,Intermediate,CERTIFICATE,http://example.com/certificate/JMD306/35,,,True
JMD306,Jessica,Stevens,IT Support,2020,Intermediate CSS & Sass,Intermediate,CERTIFICATE,http://example.com/certificate/JMD306/19,,,True
JMD306,Jessica,Stevens,IT Support,2020,Intermediate Python Programming,Basic,CERTIFICATE,http://example.com/certificate/JMD306/6,,,False
JMD306,Jessica,Stevens,IT Support,2020,Data Wrangling and Preprocessing,Basic,ASSESSMENT,,90.0,Best,False
JMD306,Jessica,Stevens,IT Support,2020,AWS Solutions Architect: Associate,Advanced,CERTIFICATE,http://example.com/certificate/JMD306/53,,,True
JMD306,Jessica,Stevens,IT Support,2020,Fundamentals of SQL,Intermediate,CERTIFICATE,http://example.com/certificate/JMD306/26,,,True
JMD306,Jessica,Stevens,IT Support,2020,Security Operations and Incident Response,Basic,ASSESSMENT,,67.0,Average,True
JMD307,Kathy,Adams,IT Support,2023,Introduction to Web Design,Basic,CERTIFICATE,http://example.com/certificate/JMD307/16,,,True
JMD307,Kathy,Adams,IT Support,2023,Data Lakes and Big Data Systems,Intermediate,ASSESSMENT,,70.0,Average,False
JMD307,Kathy,Adams,IT Support,2023,Data Warehousing Basics,Basic,ASSESSMENT,,78.0,Good,True
JMD307,Kathy,Adams,IT Support,2023,"Advanced JavaScript Frameworks (Vue, Angular, React)",Basic,ASSESSMENT,,91.0,Excellent,True
JMD307,Kathy,Adams,IT Support,2023,Advanced Machine Learning Algorithms,Intermediate,ASSESSMENT,,97.0,Excellent,True
JMD307,Kathy,Adams,IT Support,2023,Introduction to Data Pipelines,Basic,CERTIFICATE,http://example.com/certificate/JMD307/25,,,True
JMD307,Kathy,Adams,IT Support,2023,Object-Oriented Programming with Python,Advanced,ASSESSMENT,,52.0,Below average,True
JMD308,Rebecca,Farmer,Software Engineer,2024,Cybersecurity Risk Management,Advanced,CERTIFICATE,http://example.com/certificate/JMD308/70,,,True
JMD308,Rebecca,Farmer,Software Engineer,2024,Python Basics for Beginners,Basic,CERTIFICATE,http://example.com/certificate/JMD308/2,,,True
JMD308,Rebecca,Farmer,Software Engineer,2024,Data Warehousing Basics,Advanced,ASSESSMENT,,76.0,Good,True
JMD308,Rebecca,Farmer,Software Engineer,2024,Penetration Testing with Kali Linux,Advanced,ASSESSMENT,,72.0,Good,False
JMD308,Rebecca,Farmer,Software Engineer,2024,Introduction to Data Visualization,Intermediate,ASSESSMENT,,56.0,Below average,True
JMD308,Rebecca,Farmer,Software Engineer,2024,Cloud Storage Fundamentals,Basic,CERTIFICATE,http://example.com/certificate/JMD308/50,,,True
JMD309,Willie,Barton,Solution Enabler,2022,Data Engineering with Apache Spark,Intermediate,CERTIFICATE,http://example.com/certificate/JMD309/35,,,True
JMD309,Willie,Barton,Solution Enabler,2022,Applied Data Science with R,Basic,ASSESSMENT,,78.0,Good,True
JMD309,Willie,Barton,Solution Enabler,2022,Introduction to Data Pipelines,Basic,ASSESSMENT,,71.0,Good,True
JMD309,Willie,Barton,Solution Enabler,2022,Responsive Web Design with HTML and CSS,Intermediate,CERTIFICATE,http://example.com/certificate/JMD309/14,,,True
JMD309,Willie,Barton,Solution Enabler,2022,Intermediate CSS & Sass,Advanced,CERTIFICATE,http://example.com/certificate/JMD309/19,,,False
JMD309,Willie,Barton,Solution Enabler,2022,Getting Started with AWS,Intermediate,ASSESSMENT,,64.0,Average,False
